>> [build] akhatua/cooperbench-huggingface-datasets:task6252
#6 130.4 Setting up libidn2-0:amd64 (2.3.8-2) ...
#6 130.4 Setting up libperl5.40:amd64 (5.40.1-6) ...
#6 130.4 Setting up perl (5.40.1-6) ...
#6 130.5 Setting up libgprofng0:amd64 (2.44-3) ...
#6 130.6 Setting up libgssapi-krb5-2:amd64 (1.21.3-5+deb13u1) ...
#6 130.6 Setting up cpp-14-x86-64-linux-gnu (14.2.0-19) ...
#6 130.6 Setting up libdpkg-perl (1.22.22) ...
#6 130.7 Setting up cpp-14 (14.2.0-19) ...
#6 130.7 Setting up xauth (1:1.1.2-1.1) ...
#6 130.8 Setting up libc6-dev:amd64 (2.41-12+deb13u3) ...
#6 130.8 Setting up libgcc-14-dev:amd64 (14.2.0-19) ...
#6 130.9 Setting up libstdc++-14-dev:amd64 (14.2.0-19) ...
#6 130.9 Setting up binutils-x86-64-linux-gnu (2.44-3) ...
#6 131.0 Setting up cpp-x86-64-linux-gnu (4:14.2.0-1) ...
#6 131.0 Setting up libgnutls30t64:amd64 (3.8.9-3+deb13u4) ...
#6 131.1 Setting up libfile-fcntllock-perl (0.22-4+b4) ...
#6 131.1 Setting up libalgorithm-diff-perl (1.201-1) ...
#6 131.2 Setting up openssh-client (1:10.0p1-7+deb13u4) ...
#6 131.5 Setting up libpsl5t64:amd64 (0.21.2-1.1+b1) ...
#6 131.5 Setting up binutils (2.44-3) ...
#6 131.6 Setting up dpkg-dev (1.22.22) ...
#6 131.6 Setting up liberror-perl (0.17030-1) ...
#6 131.7 Setting up librtmp1:amd64 (2.4+20151223.gitfa8646d.1-2+b5) ...
#6 131.7 Setting up cpp (4:14.2.0-1) ...
#6 131.8 Setting up gcc-14-x86-64-linux-gnu (14.2.0-19) ...
#6 131.8 Setting up libalgorithm-diff-xs-perl (0.04-9) ...
#6 131.9 Setting up libngtcp2-crypto-gnutls8:amd64 (1.11.0-1+deb13u1) ...
#6 131.9 Setting up libalgorithm-merge-perl (0.08-5) ...
#6 132.0 Setting up wget (1.25.0-2) ...
#6 132.0 Setting up gcc-x86-64-linux-gnu (4:14.2.0-1) ...
#6 132.1 Setting up libcurl4t64:amd64 (8.14.1-2+deb13u3) ...
#6 132.1 Setting up libcurl3t64-gnutls:amd64 (8.14.1-2+deb13u3) ...
#6 132.2 Setting up gcc-14 (14.2.0-19) ...
#6 132.2 Setting up git (1:2.47.3-0+deb13u1) ...
#6 132.3 Setting up g++-14-x86-64-linux-gnu (14.2.0-19) ...
#6 132.3 Setting up g++-x86-64-linux-gnu (4:14.2.0-1) ...
#6 132.3 Setting up curl (8.14.1-2+deb13u3) ...
#6 132.4 Setting up g++-14 (14.2.0-19) ...
#6 132.4 Setting up gcc (4:14.2.0-1) ...
#6 132.5 Setting up g++ (4:14.2.0-1) ...
#6 132.5 update-alternatives: using /usr/bin/g++ to provide /usr/bin/c++ (c++) in auto mode
#6 132.6 Setting up build-essential (12.12) ...
#6 132.6 Processing triggers for libc-bin (2.41-12+deb13u3) ...
#6 DONE 137.0s

#7 [ 3/14] RUN pip install uv
#7 2.613 Collecting uv
#7 3.103   Downloading uv-0.11.25-py3-none-manylinux_2_17_x86_64.manylinux2014_x86_64.whl.metadata (11 kB)
#7 3.262 Downloading uv-0.11.25-py3-none-manylinux_2_17_x86_64.manylinux2014_x86_64.whl (26.3 MB)
#7 23.93    ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 26.3/26.3 MB 1.3 MB/s eta 0:00:00
#7 24.06 Installing collected packages: uv
#7 24.44 Successfully installed uv-0.11.25
#7 24.44 WARNING: Running pip as the 'root' user can result in broken permissions and conflicting behaviour with the system package manager, possibly rendering your system unusable. It is recommended to use a virtual environment instead: https://pip.pypa.io/warnings/venv. Use the --root-user-action option if you know what you are doing and want to suppress this warning.
#7 25.00 
#7 25.00 [notice] A new release of pip is available: 25.0.1 -> 26.1.2
#7 25.00 [notice] To update, run: pip install --upgrade pip
#7 DONE 48.8s

#8 [ 4/14] WORKDIR /workspace
#8 DONE 0.4s

#9 [ 5/14] RUN git clone https://github.com/huggingface/datasets.git repo &&     cd repo &&     git checkout 0b55ec53e980855d71ae22f8b3d12b2a0d476a51
#9 0.415 Cloning into 'repo'...
#9 94.88 Note: switching to '0b55ec53e980855d71ae22f8b3d12b2a0d476a51'.
#9 94.88 
#9 94.88 You are in 'detached HEAD' state. You can look around, make experimental
#9 94.88 changes and commit them, and you can discard any commits you make in this
#9 94.88 state without impacting any branches by switching back to a branch.
#9 94.88 
#9 94.88 If you want to create a new branch to retain commits you create, you may
#9 94.88 do so (now or later) by using -c with the switch command. Example:
#9 94.88 
#9 94.88   git switch -c <new-branch-name>
#9 94.88 
#9 94.88 Or undo this operation with:
#9 94.88 
#9 94.88   git switch -
#9 94.88 
#9 94.88 Turn off this advice by setting config variable advice.detachedHead to false
#9 94.88 
#9 94.88 HEAD is now at 0b55ec53e Add `mode` parameter to `Image` feature (#6735)
#9 DONE 96.3s

#10 [ 6/14] WORKDIR /workspace/repo
#10 DONE 0.4s

#11 [ 7/14] RUN uv pip install --system -e .
#11 0.548 Using Python 3.12.13 environment at: /usr/local
#11 10.66 Resolved 43 packages in 10.08s
#11 10.66    Building datasets @ file:///workspace/repo
#11 10.84       Built datasets @ file:///workspace/repo
#11 10.94 Downloading aiohttp (1.7MiB)
#11 10.94 Downloading pyarrow (46.6MiB)
#11 10.94 Downloading pygments (1.2MiB)
#11 10.94 Downloading pandas (10.4MiB)
#11 10.94 Downloading hf-xet (4.3MiB)
#11 10.95 Downloading numpy (15.9MiB)
#11 32.72  Downloaded pygments
#11 35.75  Downloaded aiohttp
#11 47.37  Downloaded hf-xet
#11 58.57  Downloaded pandas
#11 63.32  Downloaded numpy
#11 80.25  Downloaded pyarrow
#11 80.25 Prepared 43 packages in 1m 09s
#11 80.29 Installed 43 packages in 44ms
#11 80.29  + aiohappyeyeballs==2.6.2
#11 80.29  + aiohttp==3.14.1
#11 80.29  + aiosignal==1.4.0
#11 80.29  + annotated-doc==0.0.4
#11 80.29  + anyio==4.14.1
#11 80.29  + attrs==26.1.0
#11 80.29  + certifi==2026.6.17
#11 80.29  + charset-normalizer==3.4.7
#11 80.29  + click==8.4.2
#11 80.29  + datasets==2.18.1.dev0 (from file:///workspace/repo)
#11 80.29  + dill==0.3.8
#11 80.29  + filelock==3.29.4
#11 80.29  + frozenlist==1.8.0
#11 80.29  + fsspec==2024.2.0
#11 80.29  + h11==0.16.0
#11 80.29  + hf-xet==1.5.1
#11 80.29  + httpcore==1.0.9
#11 80.29  + httpx==0.28.1
#11 80.29  + huggingface-hub==1.21.0
#11 80.29  + idna==3.18
#11 80.29  + markdown-it-py==4.2.0
#11 80.29  + mdurl==0.1.2
#11 80.29  + multidict==6.7.1
#11 80.29  + multiprocess==0.70.16
#11 80.29  + numpy==2.5.0
#11 80.29  + packaging==26.2
#11 80.29  + pandas==3.0.3
#11 80.29  + propcache==0.5.2
#11 80.29  + pyarrow==24.0.0
#11 80.29  + pyarrow-hotfix==0.7
#11 80.29  + pygments==2.20.0
#11 80.29  + python-dateutil==2.9.0.post0
#11 80.29  + pyyaml==6.0.3
#11 80.29  + requests==2.34.2
#11 80.29  + rich==15.0.0
#11 80.29  + shellingham==1.5.4
#11 80.29  + six==1.17.0
#11 80.29  + tqdm==4.68.3
#11 80.29  + typer==0.25.1
#11 80.29  + typing-extensions==4.15.0
#11 80.29  + urllib3==2.7.0
#11 80.29  + xxhash==3.8.0
#11 80.29  + yarl==1.24.2
#11 DONE 85.9s

#12 [ 8/14] RUN uv pip uninstall --system pyarrow && uv pip install --system "pyarrow==20.0.0"
#12 0.298 Using Python 3.12.13 environment at: /usr/local
#12 0.338 Uninstalled 1 package in 41ms
#12 0.338  - pyarrow==24.0.0
#12 0.352 Using Python 3.12.13 environment at: /usr/local
#12 0.919 Resolved 1 package in 565ms
#12 1.103 Downloading pyarrow (40.3MiB)
#12 40.34  Downloaded pyarrow
#12 40.34 Prepared 1 package in 39.37s
#12 40.35 Installed 1 package in 17ms
#12 40.35  + pyarrow==20.0.0
#12 DONE 45.7s

#13 [ 9/14] RUN uv pip install --system "tensorflow>=2.16.0,<2.17.0" || uv pip install --system "tensorflow==2.16.2"
#13 0.351 Using Python 3.12.13 environment at: /usr/local
#13 14.37 Resolved 37 packages in 14.01s
#13 14.79 Downloading grpcio (6.5MiB)
#13 14.80 Downloading ml-dtypes (2.1MiB)
#13 14.80 Downloading tensorflow (563.4MiB)
#13 14.80 Downloading libclang (23.4MiB)
#13 14.80 Downloading tensorboard-data-server (6.3MiB)
#13 14.80 Downloading numpy (17.1MiB)
#13 14.80 Downloading tensorboard (5.2MiB)
#13 14.80 Downloading keras (1.6MiB)
#13 14.80 Downloading h5py (5.2MiB)
#13 18.41  Downloaded keras
#13 18.81  Downloaded ml-dtypes
#13 21.20  Downloaded h5py
#13 21.28  Downloaded tensorboard
#13 21.88  Downloaded tensorboard-data-server
#13 21.96  Downloaded grpcio
#13 25.82  Downloaded numpy
#13 27.46  Downloaded libclang
#13 233.9  Downloaded tensorflow
#13 233.9 Prepared 24 packages in 3m 39s
#13 234.1 Uninstalled 1 package in 208ms
#13 237.5 Installed 25 packages in 3.44s
#13 237.5  + absl-py==2.4.0
#13 237.5  + astunparse==1.6.3
#13 237.5  + flatbuffers==25.12.19
#13 237.5  + gast==0.7.0
#13 237.5  + google-pasta==0.2.0
#13 237.5  + grpcio==1.81.1
#13 237.5  + h5py==3.16.0
#13 237.5  + keras==3.15.0
#13 237.5  + libclang==18.1.1
#13 237.5  + markdown==3.10.2
#13 237.5  + markupsafe==3.0.3
#13 237.5  + ml-dtypes==0.3.2
#13 237.5  + namex==0.1.0
#13 237.5  - numpy==2.5.0
#13 237.5  + numpy==1.26.4
#13 237.5  + opt-einsum==3.4.0
#13 237.5  + optree==0.19.1
#13 237.5  + protobuf==4.25.9
#13 237.5  + setuptools==82.0.1
#13 237.5  + tensorboard==2.16.2
#13 237.5  + tensorboard-data-server==0.7.2
#13 237.5  + tensorflow==2.16.2
#13 237.5  + termcolor==3.3.0
#13 237.5  + werkzeug==3.1.8
#13 237.5  + wheel==0.47.0
#13 237.5  + wrapt==2.2.2
#13 DONE 238.8s

#14 [10/14] RUN uv pip install --system torch jax
#14 1.291 Using Python 3.12.13 environment at: /usr/local
#14 4.752 Resolved 35 packages in 3.45s
#14 4.902 Downloading networkx (2.0MiB)
#14 4.951 Downloading sympy (6.0MiB)
#14 5.131 Downloading scipy (33.7MiB)
#14 5.131 Downloading jax (3.1MiB)
#14 5.131 Downloading jaxlib (81.5MiB)
#14 5.139 Downloading ml-dtypes (4.8MiB)
#14 5.139 Downloading setuptools (1.0MiB)
#14 5.139 Downloading nvidia-cuda-runtime (2.1MiB)
#14 5.139 Downloading nvidia-cufile (1.2MiB)
#14 5.140 Downloading nvidia-cusparse (139.2MiB)
#14 5.147 Downloading nvidia-nvjitlink (38.8MiB)
#14 5.147 Downloading nvidia-nvshmem-cu13 (57.6MiB)
#14 5.147 Downloading cuda-bindings (6.3MiB)
#14 5.147 Downloading nvidia-cuda-cupti (10.2MiB)
#14 5.148 Downloading nvidia-cublas (403.5MiB)
#14 5.155 Downloading triton (188.6MiB)
#14 5.155 Downloading nvidia-cudnn-cu13 (349.2MiB)
#14 5.155 Downloading nvidia-cusolver (191.6MiB)
#14 5.155 Downloading torch (507.6MiB)
#14 5.155 Downloading nvidia-curand (56.8MiB)
#14 5.163 Downloading nvidia-cusparselt-cu13 (162.3MiB)
#14 5.163 Downloading nvidia-cufft (204.2MiB)
#14 5.163 Downloading nvidia-nccl-cu13 (196.4MiB)
#14 5.163 Downloading nvidia-cuda-nvrtc (86.0MiB)
#14 30.32  Downloaded setuptools
#14 31.72  Downloaded nvidia-cufile
#14 36.55  Downloaded networkx
#14 37.74  Downloaded nvidia-cuda-runtime
#14 43.49  Downloaded jax
#14 59.65  Downloaded ml-dtypes
#14 65.93  Downloaded sympy
#14 68.06  Downloaded cuda-bindings
#14 101.4  Downloaded nvidia-cuda-cupti
#14 315.0  Downloaded scipy
#14 354.2  Downloaded nvidia-nvjitlink
#14 467.7  Downloaded nvidia-curand
#14 472.6  Downloaded nvidia-nvshmem-cu13
#14 537.8  Downloaded jaxlib
#14 549.8  Downloaded nvidia-cuda-nvrtc
#14 629.4  Downloaded nvidia-cusparse
#14 669.3  Downloaded nvidia-cusparselt-cu13
#14 694.7  Downloaded triton
#14 697.2  Downloaded nvidia-cusolver
#14 698.5  Downloaded nvidia-nccl-cu13
#14 701.9  Downloaded nvidia-cufft
#14 768.8  Downloaded nvidia-cudnn-cu13
#14 778.5  Downloaded nvidia-cublas
#14 796.9  Downloaded torch
#14 797.4 Prepared 29 packages in 13m 12s
#14 805.6 Uninstalled 3 packages in 8.15s
#14 935.4 Installed 30 packages in 2m 09s
#14 935.4  + cuda-bindings==13.3.1
#14 935.4  + cuda-pathfinder==1.5.6
#14 935.4  + cuda-toolkit==13.0.2
#14 935.4  + jax==0.10.2
#14 935.4  + jaxlib==0.10.2
#14 935.4  + jinja2==3.1.6
#14 935.4  - ml-dtypes==0.3.2
#14 935.4  + ml-dtypes==0.5.4
#14 935.4  + mpmath==1.3.0
#14 935.4  + networkx==3.6.1
#14 935.4  - numpy==1.26.4
#14 935.4  + numpy==2.5.0
#14 935.4  + nvidia-cublas==13.1.1.3
#14 935.4  + nvidia-cuda-cupti==13.0.85
#14 935.4  + nvidia-cuda-nvrtc==13.0.88
#14 935.4  + nvidia-cuda-runtime==13.0.96
#14 935.4  + nvidia-cudnn-cu13==9.20.0.48
#14 935.4  + nvidia-cufft==12.0.0.61
#14 935.4  + nvidia-cufile==1.15.1.6
#14 935.4  + nvidia-curand==10.4.0.35
#14 935.4  + nvidia-cusolver==12.0.4.66
#14 935.4  + nvidia-cusparse==12.6.3.3
#14 935.4  + nvidia-cusparselt-cu13==0.8.1
#14 935.4  + nvidia-nccl-cu13==2.29.7
#14 935.4  + nvidia-nvjitlink==13.0.88
#14 935.4  + nvidia-nvshmem-cu13==3.4.5
#14 935.4  + nvidia-nvtx==13.0.85
#14 935.4  + scipy==1.18.0
#14 935.4  - setuptools==82.0.1
#14 935.4  + setuptools==81.0.0
#14 935.4  + sympy==1.14.0
#14 935.4  + torch==2.12.1
#14 935.4  + triton==3.7.1
#14 DONE 1002.9s

#15 [11/14] RUN uv pip install --system "numpy<2.0"
#15 3.213 Using Python 3.12.13 environment at: /usr/local
#15 5.159 Resolved 1 package in 1.55s
#15 5.492 Uninstalled 1 package in 47ms
#15 48.29 Installed 1 package in 42.79s
#15 48.29  - numpy==2.5.0
#15 48.29  + numpy==1.26.4
#15 DONE 179.6s

#16 [12/14] RUN uv pip install --system pytest pytest-xdist pytest-datadir Pillow
#16 2.255 Using Python 3.12.13 environment at: /usr/local
#16 2.554 Resolved 9 packages in 282ms
#16 2.789 Downloading pillow (6.8MiB)
#16 3.719  Downloaded pillow
#16 3.719 Prepared 7 packages in 1.16s
#16 3.984 Installed 7 packages in 264ms
#16 3.984  + execnet==2.1.2
#16 3.984  + iniconfig==2.3.0
#16 3.984  + pillow==12.2.0
#16 3.984  + pluggy==1.6.0
#16 3.984  + pytest==9.1.1
#16 3.984  + pytest-datadir==1.8.0
#16 3.984  + pytest-xdist==3.8.0
#16 DONE 36.2s

#17 [13/14] COPY runner.sh /usr/local/bin/
#17 DONE 101.2s

#18 [14/14] RUN chmod +x /usr/local/bin/runner.sh
#18 DONE 127.6s

#19 exporting to image
#19 exporting layers
#19 exporting layers 995.7s done
#19 exporting manifest sha256:5d1e536f4e5f48fe71628d1286a8ec727bb7832faf561284ae13c8850cccad4f
#19 exporting manifest sha256:5d1e536f4e5f48fe71628d1286a8ec727bb7832faf561284ae13c8850cccad4f 18.5s done
#19 exporting config sha256:d51208611d11d94bea3bb4c2e9bf4784bca919a1228c17c7cd14b0f2b4eedd7f
#19 exporting config sha256:d51208611d11d94bea3bb4c2e9bf4784bca919a1228c17c7cd14b0f2b4eedd7f 2.0s done
#19 exporting attestation manifest sha256:58784937364d52c248f182121b34f49ff64424d553682d0e4838671107ef713d
#19 exporting attestation manifest sha256:58784937364d52c248f182121b34f49ff64424d553682d0e4838671107ef713d 7.3s done
#19 exporting manifest list sha256:e3896fc768658f53450cb538b1cf83056c43c73ec25f943b9b5c8ca8456c6f6d
#19 exporting manifest list sha256:e3896fc768658f53450cb538b1cf83056c43c73ec25f943b9b5c8ca8456c6f6d 1.8s done
#19 naming to docker.io/akhatua/cooperbench-huggingface-datasets:task6252
#19 naming to docker.io/akhatua/cooperbench-huggingface-datasets:task6252 0.2s done
#19 unpacking to docker.io/akhatua/cooperbench-huggingface-datasets:task6252
#19 unpacking to docker.io/akhatua/cooperbench-huggingface-datasets:task6252 696.3s done
#19 DONE 1727.3s
